,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
52,36472.7066,29358.22051,20980.45888,21963.07155,23155.80654,29355.29044,38037.71386,21686.51017,30510.50452,32434.34833,35033.81628,38633.88344,42774.80676,34276.30226,34377.9665,27687.99002,55927.53652,41999.26146,34275.83576,40883.16285
53,38816.34482,31450.99553,21385.29604,23447.38626,25444.85695,31529.45431,40643.31477,22186.50417,31368.26186,34892.63283,38273.43755,40931.63783,45294.41261,35158.58932,35319.3413,29922.13676,58500.38652,44024.87389,36127.222,41949.65292
54,41896.9231,34340.82344,22190.65319,26029.21039,29220.39262,34807.86911,44086.45975,23064.41517,32409.3011,38352.11418,42876.80999,43868.36519,48328.16182,36453.24377,36688.31165,33522.87271,61855.51555,46572.41375,38469.20611,43325.88043
55,43472.26122,35848.44936,22918.48065,27764.38373,30746.61994,35986.14237,45411.31438,23886.12688,33484.23752,39611.63325,44248.20995,45235.45962,49900.92355,37714.78418,37985.55948,35372.41454,62889.9725,48255.84864,40194.92452,44422.81925
56,42337.11553,35203.40227,23953.71437,28450.75497,30387.91222,35424.76032,44951.72113,24952.48171,34508.10236,38742.24942,42490.65292,44651.49035,48931.22652,38723.00506,38541.84457,35502.14759,61351.86095,48684.82809,40702.74908,44372.41537
57,40736.53565,33650.57682,25564.50758,29558.31408,30108.45933,35113.86805,44081.39421,26609.68639,35346.81744,37811.63367,40345.69847,43687.80281,46932.5975,39735.61935,38095.04388,35618.09177,58605.55471,48896.62774,40654.9228,42951.53899
58,39017.09496,32177.21646,26832.60401,30591.37572,30091.12931,34561.79829,42951.3322,28126.223,35463.20141,36857.53577,38451.72422,42752.47135,44880.97516,39589.24766,36891.88823,35977.54295,55573.30929,49026.0261,40371.27989,41072.13117
59,37221.72167,30546.91392,27503.54161,31392.82185,30176.74623,34033.19627,41371.14951,29220.52171,35059.5317,35678.97736,36708.07182,41421.78916,42497.609,38753.77008,35485.03547,36312.62682,52365.39939,48540.92225,39709.33944,39366.14797
60,35285.9936,29098.47202,27727.95992,31843.58861,30291.9613,33610.49534,39481.64494,29761.70964,34511.89992,34525.80987,35210.28931,40153.15079,40231.51552,37519.92775,34274.20381,36735.01483,49273.12221,47492.46116,38974.61251,37919.25969
61,33714.6041,28171.273,27546.43295,32169.99739,30683.04536,33456.01098,37960.80934,29939.3702,33662.05245,33675.15997,34063.21576,39115.14993,38480.6911,35782.3159,33193.61351,37265.89899,46785.43518,46312.87367,38423.43374,36711.39519
62,32460.88671,27314.61566,27405.91579,32273.12289,31106.68898,33318.29485,36646.01648,30063.63643,33128.27227,32955.96219,33086.25688,38311.15172,37016.13692,34180.72323,32352.43219,37603.06408,44595.06254,45216.12405,38006.2566,35796.56198
63,31725.77082,26722.23311,27243.31312,32151.15395,31303.39216,33337.84089,36104.43666,30131.14251,33027.51327,32481.43653,32537.33614,38096.90879,36105.58548,33096.22911,31938.22961,37797.31107,43241.16479,44530.41445,37716.57761,35455.93737
64,31925.56473,26583.94335,27123.41303,31851.07381,31102.16506,34035.85377,36378.34017,29968.89068,33596.72737,32762.98449,32676.00762,38749.19296,36127.73993,32701.17679,32134.34379,38190.95296,43164.50219,44772.64772,37691.00131,35674.62644
65,34300.12291,27525.32648,28092.64052,32606.76295,31382.24216,36095.79208,38881.8757,30298.78098,35662.36687,34526.83039,34758.26516,40863.58454,38246.39642,34404.95813,34112.21025,39279.57973,45729.56991,46512.88122,38896.9885,37227.88804
66,38060.16815,29777.73894,29760.09795,33878.4358,33117.90818,37762.74864,42203.82587,31886.84017,37861.86406,36798.2606,37953.91224,42933.31148,41279.52645,37380.0262,37128.10879,41175.97019,49544.06319,48596.58825,40642.14524,39565.81648
67,38927.89934,29748.43629,29324.24402,33417.14887,32625.551,37513.52336,42553.61926,31362.80322,38366.1218,36676.05514,38444.38649,42671.37142,41712.68054,38009.40089,37908.13784,40990.59539,50707.82226,48814.77949,40655.26886,39953.7922
68,39275.62698,29563.79505,28560.98044,32424.83347,31739.39088,36616.93437,42321.50034,30434.48829,38072.42174,35980.10621,38318.25622,42024.56012,41808.93762,38269.99416,37987.62846,40316.61391,51398.17648,48647.18436,40505.54458,39877.44618
69,38598.84374,29114.20808,27695.28735,30842.41637,30096.33121,35023.5581,41101.58291,29349.66505,37106.34312,34412.60408,37218.18496,40591.06661,41216.82351,38060.4591,37607.97125,38939.40819,51088.64927,47765.30168,40053.30293,39376.58862
70,36709.76114,28126.66592,26490.41699,28499.91661,27580.16618,32437.9084,38799.67503,27819.58434,35321.25556,31940.77009,34934.30435,38264.30182,39860.12745,37272.00018,36278.51295,36745.93008,49504.10529,46020.99765,39028.49449,38151.99067
71,34931.27299,26942.19429,24721.92093,25985.65685,25257.2452,29911.43465,36546.04876,26018.42381,33485.57295,29374.47275,32585.28354,35831.95728,38256.83614,36107.80189,34745.45126,34549.01191,48096.867,44191.86534,37829.27385,36836.82511
